"Simple Checkout", "Simple Checkout"
"There was a problem when saving your order. Please try again.", "There was a problem when saving your order. Please try again."
"Billing Address", "Billing Address"
"Shipping Method", "Shipping Method"
"Payment Method", "Payment Method"
"Order Review", "Order Review"
"Email Address", "Email Address"
"Password", "Password"
"Close", "Close"
"Log In", "Log In"
"Sorry, no quotes are available for this order at this time.", "Sorry, no quotes are available for this order at this time."
"Select a billing address from your address book or enter a new address.", "Select a billing address from your address book or enter a new address."
"Select a shipping address from your address book or enter a new address.", "Select a shipping address from your address book or enter a new address."
"Add your Comment", "Add your Comment"
"Forgot an Item?", "Forgot an Item?"
"Create New Account", "Create New Account"
"Ship to different address", "Ship to different address"